epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.5339,1.82914,2.00968,1.16505,0.86548,0.67274,0.79931,0.46821,1.41694,1.58805,0.98513,0.000656085,0.000656085,0.000656085
2,178.626,1.39949,1.06834,0.95628,0.84613,0.82091,0.86684,0.48789,1.42396,1.11477,0.96195,0.00125728,0.00125728,0.00125728
3,266.225,1.35352,0.98521,0.92932,0.89445,0.84761,0.92407,0.57248,1.26821,0.95411,0.92787,0.00179247,0.00179247,0.00179247
4,355.839,1.31967,0.91729,0.91553,0.89806,0.86789,0.93549,0.62635,1.16261,0.85301,0.90843,0.001703,0.001703,0.001703
5,446.069,1.29413,0.90234,0.9181,0.90825,0.89381,0.94951,0.61069,1.18163,0.81923,0.90624,0.001604,0.001604,0.001604
6,539.865,1.20336,0.81786,0.88438,0.92847,0.9084,0.96389,0.68375,1.03797,0.75784,0.88029,0.001505,0.001505,0.001505
7,631.029,1.20637,0.82338,0.89506,0.93512,0.92311,0.97129,0.65736,1.11424,0.76855,0.88572,0.001406,0.001406,0.001406
8,721.508,1.18466,0.80802,0.88001,0.92902,0.92303,0.97081,0.69495,1.02178,0.74901,0.8688,0.001307,0.001307,0.001307
9,812.274,1.16065,0.75941,0.86856,0.94656,0.93839,0.97841,0.70586,1.01181,0.69521,0.86855,0.001208,0.001208,0.001208
10,904.295,1.12773,0.73201,0.87015,0.954,0.94412,0.98162,0.72576,0.9489,0.66016,0.85603,0.001109,0.001109,0.001109
11,997.254,1.02458,0.73335,0.86046,0.95218,0.94128,0.9808,0.71171,0.97331,0.70961,0.86155,0.00101,0.00101,0.00101
12,1088.64,1.02944,0.69373,0.85663,0.9659,0.95715,0.98758,0.73998,0.91471,0.61428,0.85031,0.000911,0.000911,0.000911
13,1180.68,0.97082,0.65008,0.85407,0.97126,0.96006,0.98855,0.74916,0.90209,0.59446,0.84836,0.000812,0.000812,0.000812
14,1271.65,0.97948,0.6409,0.85049,0.95152,0.95768,0.98338,0.74133,0.91075,0.59448,0.84451,0.000713,0.000713,0.000713
15,1363.85,0.95619,0.61613,0.8469,0.97569,0.96756,0.99033,0.76305,0.85691,0.56319,0.83961,0.000614,0.000614,0.000614
16,1455.22,0.96474,0.6099,0.84129,0.97257,0.96602,0.99004,0.75543,0.88716,0.56694,0.84155,0.000515,0.000515,0.000515
17,1546.48,0.94683,0.60097,0.84182,0.97134,0.97461,0.99131,0.75665,0.88253,0.54484,0.8354,0.000416,0.000416,0.000416
18,1637.61,0.93052,0.58232,0.83652,0.97792,0.97427,0.99236,0.7759,0.83423,0.52148,0.83176,0.000317,0.000317,0.000317
19,1729.81,0.89381,0.55715,0.83218,0.98171,0.97516,0.99235,0.78099,0.81296,0.51623,0.82894,0.000218,0.000218,0.000218
20,1822.01,0.87871,0.54846,0.82929,0.98055,0.97764,0.99256,0.78612,0.79914,0.50939,0.8281,0.000119,0.000119,0.000119
